Event	ID	Name			Wwise Object Path	Notes
	680341707	CallSqueezeBomb			\Default Work Unit\CallSqueezeBomb	
	840251282	CallXChameleonSting			\Default Work Unit\CallXChameleonSting	
	906395295	CallFireWaveSFX			\Default Work Unit\CallFireWaveSFX	
	930111834	CallXPassive			\Default Work Unit\CallXPassive	
	1515398611	CallXBullet			\Default Work Unit\CallXBullet	
	1625943246	CallFireWave			\Default Work Unit\CallFireWave	
	1654784168	CallCharging			\Default Work Unit\CallCharging	
	1871277837	CallDie			\Default Work Unit\CallDie	
	2408955700	CallXHomingTorpedo			\Default Work Unit\CallXHomingTorpedo	
	2781754030	CallFullCharged			\Default Work Unit\CallFullCharged	
	3191291850	CallShotgunIce			\Default Work Unit\CallShotgunIce	
	3579352191	CallXAttack			\Default Work Unit\CallXAttack	
	4097207099	CallXChargeShot			\Default Work Unit\CallXChargeShot	
	4145541447	CallXDash			\Default Work Unit\CallXDash	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	152199808	XNotDoneYet	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XNotDoneYet_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XPassive\XNotDoneYet		13842
	196729377	XHomingTorpedo	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XHomingTorpedo_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XHomingTorpedo		6386
	196765274	XiWontGiveUp	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XiWontGiveUp_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XPassive\XiWontGiveUp		13016
	312527344	FullCharge	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X8ChargeLoop2_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\FullCharge		8155
	335201293	XFullPower	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XFullPower_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XPassive\XFullPower		19123
	459209003	XHereWeGo	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XHereWeGo_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XAttack\XHereWeGo		14785
	575757206	XDie	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XDie_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XDie		15281
	615349031	XFireLoop	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XFireLoop_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XFireLoop		13509
	669571034	XIaa	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XIaa_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XAttack\XIaa		2569
	694819933	FireWave	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\FireWave_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\FireWave		4518
	700939537	XChargeShot	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XChargeShoot_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XChargeShot		3673
	803283439	Dash	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\Dash_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dash		3884
	821892311	XICantLose	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XICantLose_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XPassive\XICantLose		13260
	868571272	Charging	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X8ChargeIn3_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Charging		28680
	911450102	ChameleonSting	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\ChameleonSting_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\ChameleonSting		5888
	919515347	ShotgunIce	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\ShotgunIce_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\ShotgunIce		5282
	994555470	XHaa	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XHaa_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XAttack\XHaa		4517
	1011021810	XGoDown	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XGoDown_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XAttack\XGoDown		11107
	1030692736	XBullet	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\X8Shot_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XBullet		3795
	1039698362	XMyTurn	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\XMyTurn_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\XPassive\XMyTurn		11280
	1052041607	SqueezeBomb	A:\Users\augus\Documents\WwiseProjects\MegamanXV3SB\.cache\Windows\SFX\SqueezeBomb_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SqueezeBomb		14634

